"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Muncie, IN","34620",2021,117,105,12,0,0,0,0,84,51,37,0,0,101,0,16,0
"Muscatine, IA","34700",2021,120,82,38,0,0,0,0,88,64,41,0,0,0,0,120,0
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","34820",2021,88,83,5,0,0,0,0,57,45,23,0,0,41,47,0,0
"New Castle, IN","35220",2021,28,23,5,0,0,0,0,76,60,33,0,0,0,0,28,0
"New Castle, PA","35260",2021,79,79,0,0,0,0,0,41,32,26,0,0,79,0,0,0
"New Orleans-Metairie, LA","35380",2021,91,80,10,1,0,0,0,106,52,40,1,0,42,12,35,1
"New York-Newark-Jersey City, NY-NJ-PA","35620",2021,91,71,20,0,0,0,0,83,59,43,1,11,33,1,45,0
"Nogales, AZ","35700",2021,90,47,42,0,1,0,0,166,76,47,0,0,0,0,63,27
"Odessa, TX","36220",2021,30,28,2,0,0,0,0,57,45,25,0,0,0,0,30,0
"Ogden-Clearfield, UT","36260",2021,91,71,20,0,0,0,0,96,63,41,1,6,60,0,21,3
"Ogdensburg-Massena, NY","36300",2021,90,68,16,6,0,0,0,116,90,17,0,0,0,90,0,0
"Oklahoma City, OK","36420",2021,121,55,64,2,0,0,0,106,67,51,1,2,39,0,78,1
"Olympia-Tumwater, WA","36500",2021,30,28,2,0,0,0,0,58,48,19,0,0,0,0,30,0
"Omaha-Council Bluffs, NE-IA","36540",2021,120,91,29,0,0,0,0,86,65,40,0,0,58,6,52,4
"Othello, WA","36830",2021,30,30,0,0,0,0,0,32,29,14,0,0,0,0,30,0
"Ottawa-Peru, IL","36860",2021,84,84,0,0,0,0,0,7,3,1,0,0,0,84,0,0
"Oxford, NC","37080",2021,31,30,1,0,0,0,0,67,45,38,0,0,31,0,0,0
"Oxnard-Thousand Oaks-Ventura, CA","37100",2021,90,77,12,1,0,0,0,117,54,42,0,0,76,0,10,4
"Parkersburg-Vienna, WV","37620",2021,90,90,0,0,0,0,0,49,40,4,0,0,31,59,0,0
"Payson, AZ","37740",2021,90,76,14,0,0,0,0,80,58,44,0,0,77,8,0,5
"Peoria, IL","37900",2021,90,67,23,0,0,0,0,72,58,38,0,0,15,4,71,0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","37980",2021,90,74,16,0,0,0,0,80,60,39,0,0,57,0,33,0
"Phoenix-Mesa-Scottsdale, AZ","38060",2021,120,6,22,21,33,38,0,272,217,166,0,1,95,0,8,16
"Pittsburgh, PA","38300",2021,91,54,36,1,0,0,0,123,72,44,1,0,29,2,58,1
"Pittsfield, MA","38340",2021,47,40,7,0,0,0,0,77,54,31,0,0,15,0,32,0
"Point Pleasant, WV-OH","38580",2021,59,58,1,0,0,0,0,87,17,3,0,0,0,59,0,0
"Ponca City, OK","38620",2021,120,63,51,5,1,0,0,163,78,48,0,0,0,11,109,0
"Port Angeles, WA","38820",2021,32,28,4,0,0,0,0,57,51,40,1,0,7,0,24,0
"Portland-South Portland, ME","38860",2021,121,114,7,0,0,0,0,71,46,39,1,5,108,0,7,0
"Portland-Vancouver-Hillsboro, OR-WA","38900",2021,31,25,6,0,0,0,0,72,59,33,0,0,0,0,31,0
"Portsmouth, OH","39020",2021,59,53,6,0,0,0,0,57,51,12,0,0,0,5,20,34
"Prescott, AZ","39140",2021,57,50,7,0,0,0,0,64,51,44,0,0,57,0,0,0
